# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       3.284774055723e+11       7.006479455054e-21       1.411268385709e-06       2.327534054412e+17       1.424847712762e+04       4.337734311664e-08       4.680302800249e+15       8.147958943768e-07       3.203231536990e+34       8.821169677105e+25       4.637483969461e+26       7.368222363170e+33       2.456074121057e+33       3.483571410310e-08       1.477360945945e+34       5.417414774448e+34       5.417414774448e+34       1.805804906417e+34      -5.118248432308e+40       6.936333127252e-05       1.608115974032e-01 
       3.249655169029e+11       7.158735199630e-21       1.426518792869e-06       2.278030835742e+17       1.424847712760e+04       4.384612023870e-08       4.630263734864e+15       8.236013592973e-07       3.068424492297e+34       8.541251454429e+25       4.490324769725e+26       7.058132920696e+33       2.352710973565e+33       3.483571410310e-08       1.415186650778e+34       5.189424488590e+34       5.189424488590e+34       1.729808145048e+34      -4.850430078712e+40       6.948322999820e-05       1.605341046236e-01 
       3.214911752970e+11       7.314299572253e-21       1.441936547053e-06       2.229580477568e+17       1.424847712758e+04       4.431996341540e-08       4.580759657955e+15       8.325019845121e-07       2.939290761909e+34       8.270215751220e+25       4.347835306900e+26       6.761093500005e+33       2.253697833335e+33       3.483571410310e-08       1.355628942297e+34       4.971029105954e+34       4.971029105954e+34       1.657009684735e+34      -4.596625634657e+40       6.960312872399e-05       1.602575678681e-01 
       3.180539793235e+11       7.473244465719e-21       1.457518010284e-06       2.182160587101e+17       1.424847712757e+04       4.479892739538e-08       4.531784849737e+15       8.414987984033e-07       2.815591586083e+34       8.007780702472e+25       4.209867398318e+26       6.476554894818e+33       2.158851631606e+33       3.483571410310e-08       1.298577702228e+34       4.761824827899e+34       4.761824827899e+34       1.587274925931e+34      -4.356101805885e+40       6.972302744991e-05       1.599819822023e-01 
       3.146535318428e+11       7.635643346250e-21       1.473270458519e-06       2.135749247812e+17       1.424847712755e+04       4.528306751893e-08       4.483333651580e+15       8.505928404873e-07       2.697098253210e+34       7.753673387471e+25       4.076277563525e+26       6.203991012039e+33       2.067997004013e+33       3.483571410310e-08       1.243927446597e+34       4.561424849527e+34       4.561424849527e+34       1.520474933670e+34      -4.128163668622e+40       6.984292617594e-05       1.597073427299e-01 
       3.112894399615e+11       7.801571268078e-21       1.489192072768e-06       2.090325009302e+17       1.424847712754e+04       4.577243972443e-08       4.435400465350e+15       8.597851614990e-07       2.583591676940e+34       7.507629545976e+25       3.946926875070e+26       5.942897899045e+33       1.980965966348e+33       3.483571410310e-08       1.191577130689e+34       4.369458644511e+34       4.369458644511e+34       1.456486199178e+34      -3.912152661794e+40       6.996282490210e-05       1.594336445852e-01 
       3.079613149868e+11       7.971104920516e-21       1.505284672021e-06       2.045866877393e+17       1.424847712752e+04       4.626710055477e-08       4.387979752766e+15       8.690768235359e-07       2.474861991109e+34       7.269393303397e+25       3.821680814021e+26       5.692792811908e+33       1.897597603969e+33       3.483571410310e-08       1.141429962226e+34       4.185571280013e+34       4.185571280013e+34       1.395190411509e+34      -3.707444684310e+40       7.008272362839e-05       1.591608829372e-01 
       3.046687723816e+11       8.144322660144e-21       1.521551894257e-06       2.002354304422e+17       1.424847712751e+04       4.676710716389e-08       4.341066034758e+15       8.784689001750e-07       2.370708161706e+34       7.038716904699e+25       3.700409130077e+26       5.453213322833e+33       1.817737774278e+33       3.483571410310e-08       1.093393222405e+34       4.009422760436e+34       4.009422760436e+34       1.336474238798e+34      -3.513448291898e+40       7.020262235480e-05       1.588890529880e-01 
       3.014114317198e+11       8.321304541396e-21       1.537995558465e-06       1.959767179744e+17       1.424847712749e+04       4.727251732339e-08       4.294653890837e+15       8.879624765867e-07       2.270937615176e+34       6.815360456744e+25       3.582985706111e+26       5.223716465162e+33       1.741238821721e+33       3.483571410310e-08       1.047378094463e+34       3.840687398800e+34       3.840687398800e+34       1.280229118718e+34      -3.329602988304e+40       7.032252108134e-05       1.586181499709e-01 
       2.981889166429e+11       8.502132366689e-21       1.554617483635e-06       1.918085820437e+17       1.424847712747e+04       4.778338942922e-08       4.248737958466e+15       8.975586496835e-07       2.175365882365e+34       6.599091678817e+25       3.469288427015e+26       5.003877914358e+33       1.667959304786e+33       3.483571410310e-08       1.003299499470e+34       3.679053214562e+34       3.679053214562e+34       1.226351057757e+34      -3.155377605897e+40       7.044241980801e-05       1.583481691545e-01 
